"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,113","2026-09-04T11:17:27.8391951+02:00","6,09","27.9MiB","27,9","1,36"
"2","4,123","2026-09-04T11:17:30.8494152+02:00","99,8","30.75MiB","30,75","1,5"
"3","6,23","2026-09-04T11:17:32.9559858+02:00","100,53","30.65MiB","30,65","1,5"
"4","8,338","2026-09-04T11:17:35.0635484+02:00","100,65","31.4MiB","31,4","1,53"
"5","10,442","2026-09-04T11:17:37.1681542+02:00","100,23","31.3MiB","31,3","1,53"
"6","13,446","2026-09-04T11:17:40.1724590+02:00","100,05","31.52MiB","31,52","1,54"
"7","15,554","2026-09-04T11:17:42.2800449+02:00","99,84","31.65MiB","31,65","1,55"
"8","17,659","2026-09-04T11:17:44.3854853+02:00","99,95","31.04MiB","31,04","1,52"
"9","19,77","2026-09-04T11:17:46.4959615+02:00","99,98","31.15MiB","31,15","1,52"
"10","21,88","2026-09-04T11:17:48.6063556+02:00","99,85","31.79MiB","31,79","1,55"
"11","24,885","2026-09-04T11:17:51.6109395+02:00","100,34","32.2MiB","32,2","1,57"
"12","26,985","2026-09-04T11:17:53.7114527+02:00","99,84","32.41MiB","32,41","1,58"
"13","29,092","2026-09-04T11:17:55.8178641+02:00","100,29","31.91MiB","31,91","1,56"
"14","31,205","2026-09-04T11:17:57.9314775+02:00","99,5","32.23MiB","32,23","1,57"
