"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,12","2026-09-04T11:45:49.8662846+02:00","6,54","26.21MiB","26,21","1,28"
"2","4,125","2026-09-04T11:45:52.8714007+02:00","100,32","26.21MiB","26,21","1,28"
"3","6,23","2026-09-04T11:45:54.9773555+02:00","100,4","26.21MiB","26,21","1,28"
"4","8,34","2026-09-04T11:45:57.0864216+02:00","100,37","26.21MiB","26,21","1,28"
"5","10,451","2026-09-04T11:45:59.1980123+02:00","100,59","25.29MiB","25,29","1,24"
"6","13,457","2026-09-04T11:46:02.2038171+02:00","100,41","25.79MiB","25,79","1,26"
"7","15,574","2026-09-04T11:46:04.3204073+02:00","100,54","28.68MiB","28,68","1,4"
"8","17,679","2026-09-04T11:46:06.4255678+02:00","101,48","28.25MiB","28,25","1,38"
"9","19,781","2026-09-04T11:46:08.5277898+02:00","99,95","27.19MiB","27,19","1,33"
"10","21,893","2026-09-04T11:46:10.6392862+02:00","99,63","27.19MiB","27,19","1,33"
"11","24,9","2026-09-04T11:46:13.6461625+02:00","100,56","27.19MiB","27,19","1,33"
"12","27,021","2026-09-04T11:46:15.7679451+02:00","100,08","27.19MiB","27,19","1,33"
"13","29,135","2026-09-04T11:46:17.8818725+02:00","100,15","27.19MiB","27,19","1,33"
"14","31,252","2026-09-04T11:46:19.9983050+02:00","99,84","27.19MiB","27,19","1,33"
