"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,116","2026-09-04T06:42:52.3048958+02:00","4,67","36.64MiB","36,64","1,79"
"2","3,229","2026-09-04T06:42:54.4177041+02:00","100,39","41.11MiB","41,11","2,01"
"3","6,236","2026-09-04T06:42:57.4247014+02:00","100,58","45.66MiB","45,66","2,23"
"4","8,343","2026-09-04T06:42:59.5318610+02:00","100,03","41.41MiB","41,41","2,02"
"5","10,447","2026-09-04T06:43:01.6360415+02:00","100,02","45.17MiB","45,17","2,21"
"6","12,555","2026-09-04T06:43:03.7435430+02:00","100,47","37.94MiB","37,94","1,85"
"7","15,637","2026-09-04T06:43:06.8252065+02:00","100,49","45.93MiB","45,93","2,24"
"8","17,752","2026-09-04T06:43:08.9408909+02:00","100,13","46.11MiB","46,11","2,25"
"9","19,861","2026-09-04T06:43:11.0492168+02:00","100,33","38.65MiB","38,65","1,89"
"10","21,971","2026-09-04T06:43:13.1600844+02:00","100,01","42.37MiB","42,37","2,07"
"11","24,074","2026-09-04T06:43:15.2631522+02:00","100,24","38.65MiB","38,65","1,89"
"12","27,081","2026-09-04T06:43:18.2702707+02:00","100","45.58MiB","45,58","2,23"
"13","29,203","2026-09-04T06:43:20.3914250+02:00","100,4","45.59MiB","45,59","2,23"
"14","31,314","2026-09-04T06:43:22.5022443+02:00","99,9","45.84MiB","45,84","2,24"
