"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,11","2026-09-04T06:54:29.2716515+02:00","4,72","49.48MiB","49,48","2,42"
"2","4,115","2026-09-04T06:54:32.2761303+02:00","102,05","49.93MiB","49,93","2,44"
"3","6,234","2026-09-04T06:54:34.3959507+02:00","102,34","52.32MiB","52,32","2,55"
"4","8,339","2026-09-04T06:54:36.5005190+02:00","102,56","37.12MiB","37,12","1,81"
"5","10,446","2026-09-04T06:54:38.6076834+02:00","103","37.76MiB","37,76","1,84"
"6","13,451","2026-09-04T06:54:41.6131424+02:00","101,99","38.96MiB","38,96","1,9"
"7","15,566","2026-09-04T06:54:43.7275896+02:00","102,77","40.84MiB","40,84","1,99"
"8","17,677","2026-09-04T06:54:45.8389230+02:00","102,14","47.01MiB","47,01","2,3"
"9","19,78","2026-09-04T06:54:47.9417045+02:00","101,59","47.65MiB","47,65","2,33"
"10","21,893","2026-09-04T06:54:50.0551572+02:00","101,97","48.79MiB","48,79","2,38"
"11","24,9","2026-09-04T06:54:53.0611088+02:00","101,69","48.48MiB","48,48","2,37"
"12","27,001","2026-09-04T06:54:55.1621963+02:00","102,12","50.69MiB","50,69","2,48"
"13","29,115","2026-09-04T06:54:57.2771487+02:00","101,92","52.33MiB","52,33","2,56"
"14","31,221","2026-09-04T06:54:59.3826566+02:00","101,9","51.96MiB","51,96","2,54"
