"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,109","2026-09-04T07:42:13.2555991+02:00","1,31","46.4MiB","46,4","2,27"
"2","3,225","2026-09-04T07:42:15.3718460+02:00","21,71","107.3MiB","107,3","5,24"
"3","6,231","2026-09-04T07:42:18.3784081+02:00","19,35","107.2MiB","107,2","5,23"
"4","8,346","2026-09-04T07:42:20.4923006+02:00","14,17","86.39MiB","86,39","4,22"
"5","10,463","2026-09-04T07:42:22.6097370+02:00","18,61","117.1MiB","117,1","5,72"
"6","12,578","2026-09-04T07:42:24.7248036+02:00","20,28","64.83MiB","64,83","3,17"
"7","14,691","2026-09-04T07:42:26.8372542+02:00","20,18","85.2MiB","85,2","4,16"
"8","17,699","2026-09-04T07:42:29.8456932+02:00","13,45","96.12MiB","96,12","4,69"
"9","19,818","2026-09-04T07:42:31.9648637+02:00","19,76","101.5MiB","101,5","4,96"
"10","21,934","2026-09-04T07:42:34.0805262+02:00","21,18","100.5MiB","100,5","4,91"
"11","24,051","2026-09-04T07:42:36.1978414+02:00","18,62","106.1MiB","106,1","5,18"
"12","27,06","2026-09-04T07:42:39.2065112+02:00","17,91","105.7MiB","105,7","5,16"
"13","29,181","2026-09-04T07:42:41.3279012+02:00","21,2","76.42MiB","76,42","3,73"
"14","31,296","2026-09-04T07:42:43.4421903+02:00","19,74","105.9MiB","105,9","5,17"
