"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,103","2026-09-04T08:04:10.9053835+02:00","3,42","303MiB","303","14,79"
"2","4,11","2026-09-04T08:04:13.9130099+02:00","28,41","278.7MiB","278,7","13,61"
"3","6,222","2026-09-04T08:04:16.0245515+02:00","28,25","282MiB","282","13,77"
"4","8,344","2026-09-04T08:04:18.1469537+02:00","28,87","257.6MiB","257,6","12,58"
"5","10,461","2026-09-04T08:04:20.2640199+02:00","29,45","292.6MiB","292,6","14,28"
"6","13,468","2026-09-04T08:04:23.2705656+02:00","28,51","266.3MiB","266,3","13"
"7","15,58","2026-09-04T08:04:25.3822737+02:00","27,68","277MiB","277","13,53"
"8","17,703","2026-09-04T08:04:27.5057151+02:00","27,94","286MiB","286","13,97"
"9","19,823","2026-09-04T08:04:29.6255187+02:00","28,29","301.4MiB","301,4","14,72"
"10","21,937","2026-09-04T08:04:31.7395987+02:00","35,68","285.7MiB","285,7","13,95"
"11","24,941","2026-09-04T08:04:34.7439954+02:00","30,68","267.3MiB","267,3","13,05"
"12","27,064","2026-09-04T08:04:36.8670518+02:00","27,55","276.9MiB","276,9","13,52"
"13","29,176","2026-09-04T08:04:38.9793036+02:00","31,4","295.7MiB","295,7","14,44"
"14","31,293","2026-09-04T08:04:41.0958083+02:00","28,39","296.3MiB","296,3","14,47"
