"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,108","2026-09-04T09:45:37.7237668+02:00","1,33","26.82MiB","26,82","1,31"
"2","4,115","2026-09-04T09:45:40.7301597+02:00","10,83","28.06MiB","28,06","1,37"
"3","6,233","2026-09-04T09:45:42.8482077+02:00","8,06","28.12MiB","28,12","1,37"
"4","8,351","2026-09-04T09:45:44.9664243+02:00","10,68","28.64MiB","28,64","1,4"
"5","10,474","2026-09-04T09:45:47.0898340+02:00","10,98","29MiB","29","1,42"
"6","13,479","2026-09-04T09:45:50.0943436+02:00","8,41","27.6MiB","27,6","1,35"
"7","15,589","2026-09-04T09:45:52.2050056+02:00","9,71","28.76MiB","28,76","1,4"
"8","17,712","2026-09-04T09:45:54.3272269+02:00","10,18","29.16MiB","29,16","1,42"
"9","19,827","2026-09-04T09:45:56.4421294+02:00","9,87","29.34MiB","29,34","1,43"
"10","21,954","2026-09-04T09:45:58.5694787+02:00","9,98","29.25MiB","29,25","1,43"
"11","24,954","2026-09-04T09:46:01.5691875+02:00","8,56","29.38MiB","29,38","1,43"
"12","27,074","2026-09-04T09:46:03.6894482+02:00","9,4","29.52MiB","29,52","1,44"
"13","29,199","2026-09-04T09:46:05.8145302+02:00","8,83","29.92MiB","29,92","1,46"
"14","31,312","2026-09-04T09:46:07.9277503+02:00","9,29","30.29MiB","30,29","1,48"
