"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,108","2026-09-04T09:30:53.0452528+02:00","1,21","21.77MiB","21,77","1,06"
"2","4,114","2026-09-04T09:30:56.0515355+02:00","21,01","26.24MiB","26,24","1,28"
"3","6,231","2026-09-04T09:30:58.1684566+02:00","22,15","25.98MiB","25,98","1,27"
"4","8,349","2026-09-04T09:31:00.2863132+02:00","21,96","25.95MiB","25,95","1,27"
"5","10,478","2026-09-04T09:31:02.4154144+02:00","21,4","26.31MiB","26,31","1,28"
"6","13,48","2026-09-04T09:31:05.4179160+02:00","21,13","27.46MiB","27,46","1,34"
"7","15,599","2026-09-04T09:31:07.5360812+02:00","20,82","29.46MiB","29,46","1,44"
"8","17,723","2026-09-04T09:31:09.6602319+02:00","20,82","29.62MiB","29,62","1,45"
"9","19,851","2026-09-04T09:31:11.7881672+02:00","19,93","30.11MiB","30,11","1,47"
"10","22,855","2026-09-04T09:31:14.7922048+02:00","20,58","29.59MiB","29,59","1,44"
"11","24,988","2026-09-04T09:31:16.9254345+02:00","19,22","29.82MiB","29,82","1,46"
"12","27,124","2026-09-04T09:31:19.0610151+02:00","20,46","29.82MiB","29,82","1,46"
"13","29,249","2026-09-04T09:31:21.1869361+02:00","21,13","29.8MiB","29,8","1,46"
"14","31,386","2026-09-04T09:31:23.3231795+02:00","20,18","30.28MiB","30,28","1,48"
