"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,112","2026-09-04T09:58:43.0385416+02:00","6,61","78.19MiB","78,19","3,82"
"2","3,235","2026-09-04T09:58:45.1617143+02:00","107,11","87.69MiB","87,69","4,28"
"3","6,241","2026-09-04T09:58:48.1671090+02:00","106,11","89.39MiB","89,39","4,36"
"4","8,356","2026-09-04T09:58:50.2823520+02:00","109,25","86.92MiB","86,92","4,24"
"5","10,478","2026-09-04T09:58:52.4046745+02:00","106,6","86.27MiB","86,27","4,21"
"6","12,597","2026-09-04T09:58:54.5230140+02:00","105,41","90.14MiB","90,14","4,4"
"7","15,602","2026-09-04T09:58:57.5281337+02:00","105,67","89.78MiB","89,78","4,38"
"8","17,725","2026-09-04T09:58:59.6519171+02:00","105,91","95.46MiB","95,46","4,66"
"9","19,845","2026-09-04T09:59:01.7709394+02:00","106,88","91.63MiB","91,63","4,47"
"10","21,957","2026-09-04T09:59:03.8830958+02:00","105,44","90.73MiB","90,73","4,43"
"11","24,074","2026-09-04T09:59:06.0004119+02:00","106,24","93.68MiB","93,68","4,57"
"12","27,083","2026-09-04T09:59:09.0089148+02:00","106,23","88.4MiB","88,4","4,32"
"13","29,201","2026-09-04T09:59:11.1268875+02:00","106,22","86.69MiB","86,69","4,23"
"14","31,338","2026-09-04T09:59:13.2645537+02:00","91,63","38.11MiB","38,11","1,86"
