"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,106","2026-09-04T10:16:47.7631205+02:00","8,22","68.11MiB","68,11","3,33"
"2","3,219","2026-09-04T10:16:49.8753978+02:00","111,76","79.89MiB","79,89","3,9"
"3","6,223","2026-09-04T10:16:52.8796343+02:00","112,09","85.98MiB","85,98","4,2"
"4","8,346","2026-09-04T10:16:55.0031232+02:00","110,07","91.32MiB","91,32","4,46"
"5","10,466","2026-09-04T10:16:57.1226420+02:00","110,76","81.38MiB","81,38","3,97"
"6","12,589","2026-09-04T10:16:59.2463446+02:00","111,21","90.43MiB","90,43","4,42"
"7","14,695","2026-09-04T10:17:01.3520886+02:00","109,07","90.31MiB","90,31","4,41"
"8","17,704","2026-09-04T10:17:04.3607210+02:00","110,23","85.66MiB","85,66","4,18"
"9","19,83","2026-09-04T10:17:06.4878124+02:00","110,12","88.59MiB","88,59","4,33"
"10","21,948","2026-09-04T10:17:08.6055956+02:00","109,5","87.16MiB","87,16","4,26"
"11","24,062","2026-09-04T10:17:10.7192649+02:00","110,36","85.33MiB","85,33","4,17"
"12","27,069","2026-09-04T10:17:13.7263686+02:00","110,74","83.47MiB","83,47","4,08"
"13","29,19","2026-09-04T10:17:15.8472572+02:00","109,74","83.85MiB","83,85","4,09"
"14","31,309","2026-09-04T10:17:17.9659381+02:00","99,14","53.41MiB","53,41","2,61"
