"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,112","2026-09-04T05:53:39.7399500+02:00","1,4","39.9MiB","39,9","1,95"
"2","3,254","2026-09-04T05:53:41.8818864+02:00","90,86","46.41MiB","46,41","2,27"
"3","6,26","2026-09-04T05:53:44.8881624+02:00","79,1","48.79MiB","48,79","2,38"
"4","8,404","2026-09-04T05:53:47.0321980+02:00","90,35","49.43MiB","49,43","2,41"
"5","10,54","2026-09-04T05:53:49.1679628+02:00","80,45","51.54MiB","51,54","2,52"
"6","12,677","2026-09-04T05:53:51.3045108+02:00","80,94","52.3MiB","52,3","2,55"
"7","15,683","2026-09-04T05:53:54.3108373+02:00","79,17","54.21MiB","54,21","2,65"
"8","17,828","2026-09-04T05:53:56.4561307+02:00","86,56","55.87MiB","55,87","2,73"
"9","19,969","2026-09-04T05:53:58.5974642+02:00","79,84","58.12MiB","58,12","2,84"
"10","22,105","2026-09-04T05:54:00.7332120+02:00","80,4","59.3MiB","59,3","2,9"
"11","24,245","2026-09-04T05:54:02.8729646+02:00","80,88","59.29MiB","59,29","2,89"
"12","27,253","2026-09-04T05:54:05.8809178+02:00","78,47","59.23MiB","59,23","2,89"
"13","29,388","2026-09-04T05:54:08.0166502+02:00","80,13","58.73MiB","58,73","2,87"
"14","31,528","2026-09-04T05:54:10.1561285+02:00","49,15","34.25MiB","34,25","1,67"
