"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,107","2026-09-04T05:51:04.3649199+02:00","3,15","41.36MiB","41,36","2,02"
"2","3,253","2026-09-04T05:51:06.5103230+02:00","91,98","42.73MiB","42,73","2,09"
"3","6,259","2026-09-04T05:51:09.5172976+02:00","88,32","42.73MiB","42,73","2,09"
"4","8,399","2026-09-04T05:51:11.6573527+02:00","83,32","42.73MiB","42,73","2,09"
"5","10,533","2026-09-04T05:51:13.7906831+02:00","85,27","42.73MiB","42,73","2,09"
"6","12,673","2026-09-04T05:51:15.9309262+02:00","79,72","42.73MiB","42,73","2,09"
"7","15,678","2026-09-04T05:51:18.9363303+02:00","89,48","42.73MiB","42,73","2,09"
"8","17,814","2026-09-04T05:51:21.0725494+02:00","89,75","42.73MiB","42,73","2,09"
"9","19,959","2026-09-04T05:51:23.2168521+02:00","88,27","42.73MiB","42,73","2,09"
"10","22,098","2026-09-04T05:51:25.3562505+02:00","79,18","42.73MiB","42,73","2,09"
"11","24,245","2026-09-04T05:51:27.5027212+02:00","86,6","42.73MiB","42,73","2,09"
"12","27,252","2026-09-04T05:51:30.5098846+02:00","94,77","42.73MiB","42,73","2,09"
"13","29,393","2026-09-04T05:51:32.6508114+02:00","84,51","42.73MiB","42,73","2,09"
"14","31,554","2026-09-04T05:51:34.8115685+02:00","49,25","41.96MiB","41,96","2,05"
