"scenario","runtime","independent_runs","latency_avg_ms_mean","latency_avg_ms_sd","latency_p50_ms_mean","latency_p99_ms_mean","requests_avg_sec_mean","requests_avg_sec_sd","cpu_avg_percent_mean","cpu_avg_percent_sd","memory_avg_mib_mean","memory_avg_mib_sd","total_2xx","total_non2xx","total_errors","total_timeouts"
"auth","bun","25","131,507","0,245","118,88","249,92","75,899","0,153","93,539","0,128","31,316","0,428","56921","0","0","0"
"auth","node","25","133,554","0,391","120,08","247,64","74,737","0,228","93,597","0,121","27,258","0,503","56050","0","0","0"
"compute","bun","25","696,394","1,964","689,8","1341,4","14,304","0,047","93,44","0,125","42,48","0,924","10725","0","0","0"
"compute","node","25","980,227","3,486","895,12","2005,12","10,103","0,046","95,214","0,261","45,487","2,375","7575","0","0","0"
"file-read","bun","25","379,853","16,034","329,64","1048,04","52,539","2,262","18,257","0,739","91,514","5,101","39402","0","0","0"
"file-read","node","25","312,56","7,905","309,92","394,96","63,909","1,603","27,647","0,719","279,629","6,025","47929","0","0","0"
"file-write","bun","25","197,217","12,543","166,6","619,88","100,973","5,785","8,585","0,5","28,794","0,382","75727","0","0","0"
"file-write","node","25","136,346","10,488","129,44","227,04","146,981","9,339","18,32","1,439","28,116","0,616","110232","0","0","0"
"json","bun","25","88,094","1,06","83,44","170,76","225,876","2,711","98,021","0,594","86,643","3,243","169404","0","0","0"
"json","node","25","119,758","1,311","113,52","231,28","166,411","1,803","102,184","0,859","82,925","3,012","124806","0","0","0"
"simple","bun","25","4,141","0,144","3,8","9,76","21476,196","593,298","73,776","0,758","52,305","0,497","16106847","0","0","0"
"simple","node","25","4,09","0,172","4","9,08","21770,308","706,776","76,944","1,626","41,208","0,62","16327327","0","0","0"
