"scenario","runtime","repetition","connections","duration_seconds","warmup_seconds","latency_avg_ms","latency_p50_ms","latency_p97_5_ms","latency_p99_ms","latency_stddev_ms","latency_max_ms","requests_avg_sec","requests_total","throughput_avg_bps","responses_2xx","responses_non2xx","errors","timeouts","cpu_avg_percent","memory_avg_mib","memory_max_mib","docker_stats_samples","autocannon_file","docker_stats_file"
"simple","node","1","100","30","5","4,18","4","8","9","1,68","69","21332,27","639950","3498427,74","639950","0","0","0","79,569","38,949","39,22","14","C:\Users\Miha\Namizje\DiplomaBenchmark\results\20260904_052953\autocannon\simple_node_run1.json","C:\Users\Miha\Namizje\DiplomaBenchmark\results\20260904_052953\docker-stats\simple_node_run1.csv"
"simple","bun","1","100","30","5","4,57","4","9","10","1,68","69","19747,07","592440","3218978,14","592440","0","0","0","73,869","51,544","58,81","14","C:\Users\Miha\Namizje\DiplomaBenchmark\results\20260904_052953\autocannon\simple_bun_run1.json","C:\Users\Miha\Namizje\DiplomaBenchmark\results\20260904_052953\docker-stats\simple_bun_run1.csv"
"simple","bun","2","100","30","5","4,2","4","9","10","1,73","63","21212,67","636330","3457604,27","636330","0","0","0","72,753","52,009","59,39","14","C:\Users\Miha\Namizje\DiplomaBenchmark\results\20260904_052953\autocannon\simple_bun_run2.json","C:\Users\Miha\Namizje\DiplomaBenchmark\results\20260904_052953\docker-stats\simple_bun_run2.csv"
"simple","node","2","100","30","5","4,01","4","8","9","1,62","71","22132,27","663939","3629397,34","663939","0","0","0","79,68","40,885","41,07","14","C:\Users\Miha\Namizje\DiplomaBenchmark\results\20260904_052953\autocannon\simple_node_run2.json","C:\Users\Miha\Namizje\DiplomaBenchmark\results\20260904_052953\docker-stats\simple_node_run2.csv"
"simple","node","3","100","30","5","3,99","4","8","9","1,61","64","22185,07","665521","3638237,87","665521","0","0","0","77,922","40,955","41,18","14","C:\Users\Miha\Namizje\DiplomaBenchmark\results\20260904_052953\autocannon\simple_node_run3.json","C:\Users\Miha\Namizje\DiplomaBenchmark\results\20260904_052953\docker-stats\simple_node_run3.csv"
"simple","bun","3","100","30","5","4,06","4","9","10","1,66","60","21841,07","655257","3560174,94","655257","0","0","0","72,694","51,859","58,97","14","C:\Users\Miha\Namizje\DiplomaBenchmark\results\20260904_052953\autocannon\simple_bun_run3.json","C:\Users\Miha\Namizje\DiplomaBenchmark\results\20260904_052953\docker-stats\simple_bun_run3.csv"
"simple","bun","4","100","30","5","4,52","4","9","10","1,58","58","20012,27","600343","3262054,4","600343","0","0","0","74,089","51,752","59,43","14","C:\Users\Miha\Namizje\DiplomaBenchmark\results\20260904_052953\autocannon\simple_bun_run4.json","C:\Users\Miha\Namizje\DiplomaBenchmark\results\20260904_052953\docker-stats\simple_bun_run4.csv"
"simple","node","4","100","30","5","4,36","4","8","10","1,65","71","20638,41","619158","3384729,6","619158","0","0","0","77,969","41,364","41,75","14","C:\Users\Miha\Namizje\DiplomaBenchmark\results\20260904_052953\autocannon\simple_node_run4.json","C:\Users\Miha\Namizje\DiplomaBenchmark\results\20260904_052953\docker-stats\simple_node_run4.csv"
"simple","node","5","100","30","5","4,81","4","9","10","1,9","85","18891,74","566723","3097941,34","566723","0","0","0","71,767","41,739","41,95","14","C:\Users\Miha\Namizje\DiplomaBenchmark\results\20260904_052953\autocannon\simple_node_run5.json","C:\Users\Miha\Namizje\DiplomaBenchmark\results\20260904_052953\docker-stats\simple_node_run5.csv"
"simple","bun","5","100","30","5","4,28","4","8","9","1,56","77","20910,41","627315","3408452,27","627315","0","0","0","73,765","52,286","58,94","14","C:\Users\Miha\Namizje\DiplomaBenchmark\results\20260904_052953\autocannon\simple_bun_run5.json","C:\Users\Miha\Namizje\DiplomaBenchmark\results\20260904_052953\docker-stats\simple_bun_run5.csv"
"simple","bun","6","100","30","5","4,1","4","9","10","1,67","64","21625,07","648738","3524846,94","648738","0","0","0","73,138","52,629","59,61","14","C:\Users\Miha\Namizje\DiplomaBenchmark\results\20260904_052953\autocannon\simple_bun_run6.json","C:\Users\Miha\Namizje\DiplomaBenchmark\results\20260904_052953\docker-stats\simple_bun_run6.csv"
"simple","node","6","100","30","5","3,98","4","8","9","1,59","61","22279,47","668414","3654075,74","668414","0","0","0","76,823","41,085","41,23","14","C:\Users\Miha\Namizje\DiplomaBenchmark\results\20260904_052953\autocannon\simple_node_run6.json","C:\Users\Miha\Namizje\DiplomaBenchmark\results\20260904_052953\docker-stats\simple_node_run6.csv"
"simple","node","7","100","30","5","4,09","4","8","9","1,67","71","21724,27","651714","3562632,54","651714","0","0","0","77,459","41,421","41,8","14","C:\Users\Miha\Namizje\DiplomaBenchmark\results\20260904_052953\autocannon\simple_node_run7.json","C:\Users\Miha\Namizje\DiplomaBenchmark\results\20260904_052953\docker-stats\simple_node_run7.csv"
"simple","bun","7","100","30","5","4,12","4","9","10","1,73","59","21523,2","645673","3508292,27","645673","0","0","0","73,151","52,891","60,53","14","C:\Users\Miha\Namizje\DiplomaBenchmark\results\20260904_052953\autocannon\simple_bun_run7.json","C:\Users\Miha\Namizje\DiplomaBenchmark\results\20260904_052953\docker-stats\simple_bun_run7.csv"
"simple","bun","8","100","30","5","4,19","4","9","10","1,7","68","21219,74","636590","3459106,14","636590","0","0","0","73,515","52,625","58,9","14","C:\Users\Miha\Namizje\DiplomaBenchmark\results\20260904_052953\autocannon\simple_bun_run8.json","C:\Users\Miha\Namizje\DiplomaBenchmark\results\20260904_052953\docker-stats\simple_bun_run8.csv"
"simple","node","8","100","30","5","4,06","4","8","9","1,66","61","21885,87","656574","3589256,54","656574","0","0","0","76,604","40,805","40,89","14","C:\Users\Miha\Namizje\DiplomaBenchmark\results\20260904_052953\autocannon\simple_node_run8.json","C:\Users\Miha\Namizje\DiplomaBenchmark\results\20260904_052953\docker-stats\simple_node_run8.csv"
"simple","node","9","100","30","5","4,04","4","8","9","1,61","64","21979,74","659341","3604445,87","659341","0","0","0","78,112","42,577","42,73","14","C:\Users\Miha\Namizje\DiplomaBenchmark\results\20260904_052953\autocannon\simple_node_run9.json","C:\Users\Miha\Namizje\DiplomaBenchmark\results\20260904_052953\docker-stats\simple_node_run9.csv"
"simple","bun","9","100","30","5","4","3","9","10","1,69","64","22099,74","662940","3601954,14","662940","0","0","0","75,558","52,306","59,28","14","C:\Users\Miha\Namizje\DiplomaBenchmark\results\20260904_052953\autocannon\simple_bun_run9.json","C:\Users\Miha\Namizje\DiplomaBenchmark\results\20260904_052953\docker-stats\simple_bun_run9.csv"
